case_id,category,heimdall_category,cwe,ground_truth,run_1_prediction,run_1_classification,run_1_abstention_cause,run_1_request_count,run_1_status_code,run_1_elapsed_ms,run_2_prediction,run_2_classification,run_2_abstention_cause,run_2_request_count,run_2_status_code,run_2_elapsed_ms,counterfactual_classification
BenchmarkTest00024,sqli,SQL Injection,89,true_positive,needs_review,REVIEW,no declared negative predicate,1,500,31.256600,needs_review,REVIEW,no declared negative predicate,1,500,26.725200,FN
BenchmarkTest00025,sqli,SQL Injection,89,true_positive,needs_review,REVIEW,no declared negative predicate,1,500,136.553700,needs_review,REVIEW,no declared negative predicate,1,500,12.131400,FN
BenchmarkTest00026,sqli,SQL Injection,89,true_positive,needs_review,REVIEW,no declared negative predicate,1,500,40.064300,needs_review,REVIEW,no declared negative predicate,1,500,13.953500,FN
BenchmarkTest00027,sqli,SQL Injection,89,true_positive,needs_review,REVIEW,no declared negative predicate,1,500,17.722300,needs_review,REVIEW,no declared negative predicate,1,500,17.648300,FN
BenchmarkTest00359,pathtraver,Path Traversal,22,true_positive,needs_review,REVIEW,no declared negative predicate,1,500,93.212400,needs_review,REVIEW,no declared negative predicate,1,500,21.979900,FN
BenchmarkTest00360,pathtraver,Path Traversal,22,true_positive,needs_review,REVIEW,no declared negative predicate,1,500,29.478900,needs_review,REVIEW,no declared negative predicate,1,500,14.233900,FN
BenchmarkTest00361,pathtraver,Path Traversal,22,false_positive,needs_review,REVIEW,no declared negative predicate,1,500,14.576600,needs_review,REVIEW,no declared negative predicate,1,500,13.312300,TN
BenchmarkTest00362,pathtraver,Path Traversal,22,true_positive,needs_review,REVIEW,no declared negative predicate,1,500,15.288400,needs_review,REVIEW,no declared negative predicate,1,500,32.191100,FN
BenchmarkTest00363,pathtraver,Path Traversal,22,true_positive,needs_review,REVIEW,no declared negative predicate,1,500,16.453400,needs_review,REVIEW,no declared negative predicate,1,500,10.598400,FN
BenchmarkTest00364,pathtraver,Path Traversal,22,false_positive,needs_review,REVIEW,no declared negative predicate,1,500,15.372800,needs_review,REVIEW,no declared negative predicate,1,500,12.927800,TN
BenchmarkTest00365,pathtraver,Path Traversal,22,false_positive,needs_review,REVIEW,no declared negative predicate,1,500,28.032000,needs_review,REVIEW,no declared negative predicate,1,500,10.365900,TN
BenchmarkTest00366,pathtraver,Path Traversal,22,false_positive,needs_review,REVIEW,no declared negative predicate,1,500,13.001500,needs_review,REVIEW,no declared negative predicate,1,500,10.318900,TN
BenchmarkTest00375,xss,Reflected XSS,79,true_positive,confirmed,TP,,1,500,14.088400,confirmed,TP,,1,500,10.084300,TP
BenchmarkTest00376,xss,Reflected XSS,79,true_positive,confirmed,TP,,1,500,15.474000,confirmed,TP,,1,500,10.973400,TP
BenchmarkTest00377,xss,Reflected XSS,79,false_positive,needs_review,REVIEW,no declared negative predicate,1,500,15.648700,needs_review,REVIEW,no declared negative predicate,1,500,10.181500,TN
BenchmarkTest00378,xss,Reflected XSS,79,true_positive,confirmed,TP,,1,500,13.204200,confirmed,TP,,1,500,8.991900,TP
BenchmarkTest00379,xss,Reflected XSS,79,false_positive,needs_review,REVIEW,no declared negative predicate,1,500,20.404400,needs_review,REVIEW,no declared negative predicate,1,500,9.318400,TN
BenchmarkTest00380,xss,Reflected XSS,79,true_positive,confirmed,TP,,1,500,12.833000,confirmed,TP,,1,500,10.955000,TP
BenchmarkTest00381,xss,Reflected XSS,79,false_positive,needs_review,REVIEW,no declared negative predicate,1,500,12.918000,needs_review,REVIEW,no declared negative predicate,1,500,8.566500,TN
BenchmarkTest00382,xss,Reflected XSS,79,true_positive,confirmed,TP,,1,500,10.823500,confirmed,TP,,1,500,23.306000,TP
BenchmarkTest00383,xss,Reflected XSS,79,true_positive,confirmed,TP,,1,500,10.611900,confirmed,TP,,1,500,9.276400,TP
BenchmarkTest00384,xss,Reflected XSS,79,true_positive,confirmed,TP,,1,500,9.506600,confirmed,TP,,1,500,10.518900,TP
BenchmarkTest00385,xss,Reflected XSS,79,true_positive,confirmed,TP,,1,500,9.272600,confirmed,TP,,1,500,9.776600,TP
BenchmarkTest00386,xss,Reflected XSS,79,false_positive,needs_review,REVIEW,no declared negative predicate,1,500,11.819500,needs_review,REVIEW,no declared negative predicate,1,500,12.315000,TN
BenchmarkTest00387,xss,Reflected XSS,79,true_positive,confirmed,TP,,1,500,8.857600,confirmed,TP,,1,500,11.926600,TP
BenchmarkTest00388,xss,Reflected XSS,79,true_positive,confirmed,TP,,1,500,8.884700,confirmed,TP,,1,500,11.764400,TP
BenchmarkTest00389,xss,Reflected XSS,79,false_positive,needs_review,REVIEW,no declared negative predicate,1,500,20.157800,needs_review,REVIEW,no declared negative predicate,1,500,24.994600,TN
BenchmarkTest00390,xss,Reflected XSS,79,true_positive,confirmed,TP,,1,500,10.175800,confirmed,TP,,1,500,9.425500,TP
BenchmarkTest00391,xss,Reflected XSS,79,false_positive,needs_review,REVIEW,no declared negative predicate,1,500,9.375900,needs_review,REVIEW,no declared negative predicate,1,500,23.048600,TN
BenchmarkTest00392,xss,Reflected XSS,79,true_positive,needs_review,REVIEW,no declared negative predicate,1,500,34.383200,needs_review,REVIEW,no declared negative predicate,1,500,30.329600,FN
BenchmarkTest00393,xss,Reflected XSS,79,false_positive,needs_review,REVIEW,no declared negative predicate,1,500,11.079900,needs_review,REVIEW,no declared negative predicate,1,500,12.798200,TN
BenchmarkTest00394,xss,Reflected XSS,79,false_positive,needs_review,REVIEW,no declared negative predicate,1,500,7.687400,needs_review,REVIEW,no declared negative predicate,1,500,16.288600,TN
BenchmarkTest00395,xss,Reflected XSS,79,true_positive,confirmed,TP,,1,500,10.052800,confirmed,TP,,1,500,12.675500,TP
BenchmarkTest00396,cmdi,Command Injection,78,false_positive,needs_review,REVIEW,no declared negative predicate,1,500,56.306600,needs_review,REVIEW,no declared negative predicate,1,500,65.801800,TN
BenchmarkTest00406,cmdi,Command Injection,78,false_positive,needs_review,REVIEW,no declared negative predicate,1,500,59.933200,needs_review,REVIEW,no declared negative predicate,1,500,71.251500,TN
BenchmarkTest00407,cmdi,Command Injection,78,true_positive,confirmed,TP,,1,500,38.974900,confirmed,TP,,1,500,48.689600,TP
BenchmarkTest00408,cmdi,Command Injection,78,false_positive,needs_review,REVIEW,no declared negative predicate,1,500,35.449600,needs_review,REVIEW,no declared negative predicate,1,500,46.513800,TN
BenchmarkTest00409,cmdi,Command Injection,78,true_positive,confirmed,TP,,1,500,29.958500,confirmed,TP,,1,500,56.015800,TP
BenchmarkTest00410,cmdi,Command Injection,78,false_positive,needs_review,REVIEW,no declared negative predicate,1,500,1019.608600,needs_review,REVIEW,no declared negative predicate,1,500,1524.689700,TN
BenchmarkTest00411,cmdi,Command Injection,78,false_positive,needs_review,REVIEW,no declared negative predicate,1,500,976.695200,needs_review,REVIEW,no declared negative predicate,1,500,1204.993800,TN
BenchmarkTest00412,cmdi,Command Injection,78,false_positive,needs_review,REVIEW,no declared negative predicate,1,500,987.835800,needs_review,REVIEW,no declared negative predicate,1,500,1186.721500,TN
BenchmarkTest00428,sqli,SQL Injection,89,true_positive,needs_review,REVIEW,no declared negative predicate,1,500,10.515800,needs_review,REVIEW,no declared negative predicate,1,500,9.670400,FN
BenchmarkTest00429,sqli,SQL Injection,89,true_positive,needs_review,REVIEW,no declared negative predicate,1,500,9.970400,needs_review,REVIEW,no declared negative predicate,1,500,8.328700,FN
